run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210506-19:16:48-1213,runattr,,,configname,General,,,
General-0-20210506-19:16:48-1213,runattr,,,datetime,20210506-19:16:48,,,
General-0-20210506-19:16:48-1213,runattr,,,experiment,General,,,
General-0-20210506-19:16:48-1213,runattr,,,inifile,omnetpp.ini,,,
General-0-20210506-19:16:48-1213,runattr,,,iterationvars,,,,
General-0-20210506-19:16:48-1213,runattr,,,iterationvarsf,,,,
General-0-20210506-19:16:48-1213,runattr,,,measurement,,,,
General-0-20210506-19:16:48-1213,runattr,,,network,Network,,,
General-0-20210506-19:16:48-1213,runattr,,,processid,1213,,,
General-0-20210506-19:16:48-1213,runattr,,,repetition,0,,,
General-0-20210506-19:16:48-1213,runattr,,,replication,#0,,,
General-0-20210506-19:16:48-1213,runattr,,,resultdir,results,,,
General-0-20210506-19:16:48-1213,runattr,,,runnumber,0,,,
General-0-20210506-19:16:48-1213,runattr,,,seedset,0,,,
General-0-20210506-19:16:48-1213,param,,,Network.nodeTx.gen.generationInterval,exponential(0.1),,,
General-0-20210506-19:16:48-1213,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210506-19:16:48-1213,param,,,Network.queue.bufferSize,200,,,
General-0-20210506-19:16:48-1213,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210506-19:16:48-1213,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20210506-19:16:48-1213,param,,,Network.nodeTx.gen.generationInterval,exponential(0.1),,,
General-0-20210506-19:16:48-1213,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210506-19:16:48-1213,param,,,Network.queue.bufferSize,200,,,
General-0-20210506-19:16:48-1213,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210506-19:16:48-1213,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
