run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210509-22:00:35-1196,runattr,,,configname,General,,,
General-0-20210509-22:00:35-1196,runattr,,,datetime,20210509-22:00:35,,,
General-0-20210509-22:00:35-1196,runattr,,,experiment,General,,,
General-0-20210509-22:00:35-1196,runattr,,,inifile,omnetpp.ini,,,
General-0-20210509-22:00:35-1196,runattr,,,iterationvars,,,,
General-0-20210509-22:00:35-1196,runattr,,,iterationvarsf,,,,
General-0-20210509-22:00:35-1196,runattr,,,measurement,,,,
General-0-20210509-22:00:35-1196,runattr,,,network,Network,,,
General-0-20210509-22:00:35-1196,runattr,,,processid,1196,,,
General-0-20210509-22:00:35-1196,runattr,,,repetition,0,,,
General-0-20210509-22:00:35-1196,runattr,,,replication,#0,,,
General-0-20210509-22:00:35-1196,runattr,,,resultdir,results,,,
General-0-20210509-22:00:35-1196,runattr,,,runnumber,0,,,
General-0-20210509-22:00:35-1196,runattr,,,seedset,0,,,
General-0-20210509-22:00:35-1196,param,,,Network.nodeTx.gen.generationInterval,exponential(0.2),,,
General-0-20210509-22:00:35-1196,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210509-22:00:35-1196,param,,,Network.queue.bufferSize,200,,,
General-0-20210509-22:00:35-1196,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210509-22:00:35-1196,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
