run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210506-19:26:42-1323,runattr,,,configname,General,,,
General-0-20210506-19:26:42-1323,runattr,,,datetime,20210506-19:26:42,,,
General-0-20210506-19:26:42-1323,runattr,,,experiment,General,,,
General-0-20210506-19:26:42-1323,runattr,,,inifile,omnetpp.ini,,,
General-0-20210506-19:26:42-1323,runattr,,,iterationvars,,,,
General-0-20210506-19:26:42-1323,runattr,,,iterationvarsf,,,,
General-0-20210506-19:26:42-1323,runattr,,,measurement,,,,
General-0-20210506-19:26:42-1323,runattr,,,network,Network,,,
General-0-20210506-19:26:42-1323,runattr,,,processid,1323,,,
General-0-20210506-19:26:42-1323,runattr,,,repetition,0,,,
General-0-20210506-19:26:42-1323,runattr,,,replication,#0,,,
General-0-20210506-19:26:42-1323,runattr,,,resultdir,results,,,
General-0-20210506-19:26:42-1323,runattr,,,runnumber,0,,,
General-0-20210506-19:26:42-1323,runattr,,,seedset,0,,,
General-0-20210506-19:26:42-1323,param,,,Network.nodeTx.gen.generationInterval,exponential(0.5),,,
General-0-20210506-19:26:42-1323,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210506-19:26:42-1323,param,,,Network.queue.bufferSize,200,,,
General-0-20210506-19:26:42-1323,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210506-19:26:42-1323,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20210506-19:26:42-1323,param,,,Network.nodeTx.gen.generationInterval,exponential(0.5),,,
General-0-20210506-19:26:42-1323,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210506-19:26:42-1323,param,,,Network.queue.bufferSize,200,,,
General-0-20210506-19:26:42-1323,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210506-19:26:42-1323,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
