run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210506-19:29:09-1374,runattr,,,configname,General,,,
General-0-20210506-19:29:09-1374,runattr,,,datetime,20210506-19:29:09,,,
General-0-20210506-19:29:09-1374,runattr,,,experiment,General,,,
General-0-20210506-19:29:09-1374,runattr,,,inifile,omnetpp.ini,,,
General-0-20210506-19:29:09-1374,runattr,,,iterationvars,,,,
General-0-20210506-19:29:09-1374,runattr,,,iterationvarsf,,,,
General-0-20210506-19:29:09-1374,runattr,,,measurement,,,,
General-0-20210506-19:29:09-1374,runattr,,,network,Network,,,
General-0-20210506-19:29:09-1374,runattr,,,processid,1374,,,
General-0-20210506-19:29:09-1374,runattr,,,repetition,0,,,
General-0-20210506-19:29:09-1374,runattr,,,replication,#0,,,
General-0-20210506-19:29:09-1374,runattr,,,resultdir,results,,,
General-0-20210506-19:29:09-1374,runattr,,,runnumber,0,,,
General-0-20210506-19:29:09-1374,runattr,,,seedset,0,,,
General-0-20210506-19:29:09-1374,param,,,Network.nodeTx.gen.generationInterval,exponential(0.7),,,
General-0-20210506-19:29:09-1374,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210506-19:29:09-1374,param,,,Network.queue.bufferSize,200,,,
General-0-20210506-19:29:09-1374,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210506-19:29:09-1374,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
General-0-20210506-19:29:09-1374,param,,,Network.nodeTx.gen.generationInterval,exponential(0.7),,,
General-0-20210506-19:29:09-1374,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210506-19:29:09-1374,param,,,Network.queue.bufferSize,200,,,
General-0-20210506-19:29:09-1374,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210506-19:29:09-1374,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
