run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210506-18:17:31-28397,runattr,,,configname,General,,,
General-0-20210506-18:17:31-28397,runattr,,,datetime,20210506-18:17:31,,,
General-0-20210506-18:17:31-28397,runattr,,,experiment,General,,,
General-0-20210506-18:17:31-28397,runattr,,,inifile,omnetpp.ini,,,
General-0-20210506-18:17:31-28397,runattr,,,iterationvars,,,,
General-0-20210506-18:17:31-28397,runattr,,,iterationvarsf,,,,
General-0-20210506-18:17:31-28397,runattr,,,measurement,,,,
General-0-20210506-18:17:31-28397,runattr,,,network,Network,,,
General-0-20210506-18:17:31-28397,runattr,,,processid,28397,,,
General-0-20210506-18:17:31-28397,runattr,,,repetition,0,,,
General-0-20210506-18:17:31-28397,runattr,,,replication,#0,,,
General-0-20210506-18:17:31-28397,runattr,,,resultdir,results,,,
General-0-20210506-18:17:31-28397,runattr,,,runnumber,0,,,
General-0-20210506-18:17:31-28397,runattr,,,seedset,0,,,
General-0-20210506-18:17:31-28397,param,,,Network.nodeTx.gen.generationInterval,exponential(0.7),,,
General-0-20210506-18:17:31-28397,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210506-18:17:31-28397,param,,,Network.queue.bufferSize,200,,,
General-0-20210506-18:17:31-28397,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210506-18:17:31-28397,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
