run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210506-18:16:21-28355,runattr,,,configname,General,,,
General-0-20210506-18:16:21-28355,runattr,,,datetime,20210506-18:16:21,,,
General-0-20210506-18:16:21-28355,runattr,,,experiment,General,,,
General-0-20210506-18:16:21-28355,runattr,,,inifile,omnetpp.ini,,,
General-0-20210506-18:16:21-28355,runattr,,,iterationvars,,,,
General-0-20210506-18:16:21-28355,runattr,,,iterationvarsf,,,,
General-0-20210506-18:16:21-28355,runattr,,,measurement,,,,
General-0-20210506-18:16:21-28355,runattr,,,network,Network,,,
General-0-20210506-18:16:21-28355,runattr,,,processid,28355,,,
General-0-20210506-18:16:21-28355,runattr,,,repetition,0,,,
General-0-20210506-18:16:21-28355,runattr,,,replication,#0,,,
General-0-20210506-18:16:21-28355,runattr,,,resultdir,results,,,
General-0-20210506-18:16:21-28355,runattr,,,runnumber,0,,,
General-0-20210506-18:16:21-28355,runattr,,,seedset,0,,,
General-0-20210506-18:16:21-28355,param,,,Network.nodeTx.gen.generationInterval,exponential(0.3),,,
General-0-20210506-18:16:21-28355,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20210506-18:16:21-28355,param,,,Network.queue.bufferSize,200,,,
General-0-20210506-18:16:21-28355,param,,,Network.nodeRx.queue.bufferSize,200,,,
General-0-20210506-18:16:21-28355,param,,,Network.nodeTx.queue.bufferSize,2000000,,,
