run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210524-17:56:25-22448,runattr,,,configname,General,,,
General-0-20210524-17:56:25-22448,runattr,,,datetime,20210524-17:56:25,,,
General-0-20210524-17:56:25-22448,runattr,,,experiment,General,,,
General-0-20210524-17:56:25-22448,runattr,,,inifile,omnetpp.ini,,,
General-0-20210524-17:56:25-22448,runattr,,,iterationvars,,,,
General-0-20210524-17:56:25-22448,runattr,,,iterationvarsf,,,,
General-0-20210524-17:56:25-22448,runattr,,,measurement,,,,
General-0-20210524-17:56:25-22448,runattr,,,network,Network,,,
General-0-20210524-17:56:25-22448,runattr,,,processid,22448,,,
General-0-20210524-17:56:25-22448,runattr,,,repetition,0,,,
General-0-20210524-17:56:25-22448,runattr,,,replication,#0,,,
General-0-20210524-17:56:25-22448,runattr,,,resultdir,results,,,
General-0-20210524-17:56:25-22448,runattr,,,runnumber,0,,,
General-0-20210524-17:56:25-22448,runattr,,,seedset,0,,,
General-0-20210524-17:56:25-22448,param,,,Network.node[0].app.interArrivalTime,exponential(1),,,
General-0-20210524-17:56:25-22448,param,,,Network.node[0].app.packetByteSize,125000,,,
General-0-20210524-17:56:25-22448,param,,,Network.node[0].app.destination,5,,,
General-0-20210524-17:56:25-22448,param,,,Network.node[2].app.interArrivalTime,exponential(1),,,
General-0-20210524-17:56:25-22448,param,,,Network.node[2].app.packetByteSize,125000,,,
General-0-20210524-17:56:25-22448,param,,,Network.node[2].app.destination,5,,,
