run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210525-17:11:43-7564,runattr,,,configname,General,,,
General-0-20210525-17:11:43-7564,runattr,,,datetime,20210525-17:11:43,,,
General-0-20210525-17:11:43-7564,runattr,,,experiment,General,,,
General-0-20210525-17:11:43-7564,runattr,,,inifile,omnetpp.ini,,,
General-0-20210525-17:11:43-7564,runattr,,,iterationvars,,,,
General-0-20210525-17:11:43-7564,runattr,,,iterationvarsf,,,,
General-0-20210525-17:11:43-7564,runattr,,,measurement,,,,
General-0-20210525-17:11:43-7564,runattr,,,network,Network,,,
General-0-20210525-17:11:43-7564,runattr,,,processid,7564,,,
General-0-20210525-17:11:43-7564,runattr,,,repetition,0,,,
General-0-20210525-17:11:43-7564,runattr,,,replication,#0,,,
General-0-20210525-17:11:43-7564,runattr,,,resultdir,results,,,
General-0-20210525-17:11:43-7564,runattr,,,runnumber,0,,,
General-0-20210525-17:11:43-7564,runattr,,,seedset,0,,,
General-0-20210525-17:11:43-7564,param,,,Network.node[0].app.interArrivalTime,exponential(1),,,
General-0-20210525-17:11:43-7564,param,,,Network.node[0].app.packetByteSize,125000,,,
General-0-20210525-17:11:43-7564,param,,,Network.node[0].app.destination,5,,,
General-0-20210525-17:11:43-7564,param,,,Network.node[2].app.interArrivalTime,exponential(1),,,
General-0-20210525-17:11:43-7564,param,,,Network.node[2].app.packetByteSize,125000,,,
General-0-20210525-17:11:43-7564,param,,,Network.node[2].app.destination,5,,,
