run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20210525-16:29:47-29502,runattr,,,configname,General,,,
General-0-20210525-16:29:47-29502,runattr,,,datetime,20210525-16:29:47,,,
General-0-20210525-16:29:47-29502,runattr,,,experiment,General,,,
General-0-20210525-16:29:47-29502,runattr,,,inifile,omnetpp.ini,,,
General-0-20210525-16:29:47-29502,runattr,,,iterationvars,,,,
General-0-20210525-16:29:47-29502,runattr,,,iterationvarsf,,,,
General-0-20210525-16:29:47-29502,runattr,,,measurement,,,,
General-0-20210525-16:29:47-29502,runattr,,,network,Network,,,
General-0-20210525-16:29:47-29502,runattr,,,processid,29502,,,
General-0-20210525-16:29:47-29502,runattr,,,repetition,0,,,
General-0-20210525-16:29:47-29502,runattr,,,replication,#0,,,
General-0-20210525-16:29:47-29502,runattr,,,resultdir,results,,,
General-0-20210525-16:29:47-29502,runattr,,,runnumber,0,,,
General-0-20210525-16:29:47-29502,runattr,,,seedset,0,,,
General-0-20210525-16:29:47-29502,param,,,"Network.node[{0,1,2,3,4,6,7}].app.interArrivalTime",exponential(2),,,
General-0-20210525-16:29:47-29502,param,,,"Network.node[{0,1,2,3,4,6,7}].app.packetByteSize",125000,,,
General-0-20210525-16:29:47-29502,param,,,"Network.node[{0,1,2,3,4,6,7}].app.destination",5,,,
General-0-20210525-16:29:47-29502,vector,Network.node[7].lnk[0],Buffer Size,,,,"0.706318278275 0.706318278275 2.797220776968 2.797220776968 3.797220776968 3.797220776968 4.797220776968 4.797220776968 5.153367122348 5.797220776968 5.797220776968 6.797220776968 6.797220776968 7.797220776968 7.797220776968 8.797220776968 8.797220776968 9.797220776968 9.797220776968 10.349875294046 10.797220776968 10.797220776968 11.797220776968 11.797220776968 12.797220776968 12.797220776968 13.577879443831 13.797220776968 13.797220776968 14.797220776968 14.797220776968 15.322521833915 15.797220776968 15.797220776968 16.797220776968 16.797220776968 16.798176417427 17.797220776968 17.797220776968 18.016341263793 18.797220776968 18.797220776968 19.797220776968 19.797220776968 19.939103141925 20.797220776968 20.797220776968 21.797220776968 21.797220776968 22.229381051325 22.797220776968 22.797220776968 23.797220776968 23.797220776968 24.427205986427 24.797220776968 24.797220776968 24.899619398592 25.657543327157 25.797220776968 25.797220776968 26.443768441765 26.797220776968 26.797220776968 27.797220776968 27.797220776968 28.797220776968 28.797220776968 29.797220776968 29.797220776968 30.797220776968 30.797220776968 31.797220776968 31.797220776968 32.797220776968 32.797220776968 33.797220776968 33.797220776968 34.797220776968 34.797220776968 35.352762134117 35.797220776968 35.797220776968 36.797220776968 36.797220776968 37.797220776968 37.797220776968 38.797220776968 38.797220776968 38.992399972686 39.797220776968 39.797220776968 40.417567159352 40.797220776968 40.797220776968 41.797220776968 41.797220776968 42.797220776968 42.797220776968 43.106057703657 43.797220776968 43.797220776968 44.797220776968 44.797220776968 45.439804756754 45.797220776968 45.797220776968 46.797220776968 46.797220776968 47.111999820695 47.797220776968 47.797220776968 48.534495695129 48.797220776968 48.797220776968 49.797220776968 49.797220776968 50.250286977277 50.532948404399 50.797220776968 50.797220776968 51.797220776968 51.797220776968 52.616509712758 52.797220776968 52.797220776968 53.231545160283 53.797220776968 53.797220776968 54.797220776968 54.797220776968 54.841139959886 55.470583281595 55.797220776968 55.797220776968 56.151276758065 56.723318703081 56.797220776968 56.797220776968 57.797220776968 57.797220776968 58.440104638739 58.797220776968 58.797220776968 58.944944624521 59.797220776968 59.797220776968 60.797220776968 60.797220776968 61.797220776968 61.797220776968 62.797220776968 62.797220776968 63.387958421469 63.797220776968 63.797220776968 64.449403414702 64.797220776968 64.797220776968 65.797220776968 65.797220776968 66.797220776968 66.797220776968 67.797220776968 67.797220776968 68.708402206838 68.797220776968 68.797220776968 69.797220776968 69.797220776968 70.23213774943 70.797220776968 70.797220776968 71.797220776968 71.797220776968 72.161044880418 72.797220776968 72.797220776968 73.797220776968 73.797220776968 74.679131914946 74.797220776968 74.797220776968 75.553187942494 75.62159477921 75.797220776968 75.797220776968 76.797220776968 76.797220776968 77.739613549972 77.797220776968 77.797220776968 78.655959317888 78.797220776968 78.797220776968 79.797220776968 79.797220776968 80.797220776968 80.797220776968 81.797220776968 81.797220776968 81.937754473742 82.797220776968 82.797220776968 83.204679709187 83.797220776968 83.797220776968 84.797220776968 84.797220776968 85.797220776968 85.797220776968 86.797220776968 86.797220776968 87.256497343394 87.797220776968 87.797220776968 88.797220776968 88.797220776968 89.797220776968 89.797220776968 90.549935546048 90.797220776968 90.797220776968 91.639649802337 91.797220776968 91.797220776968 92.797220776968 92.797220776968 93.797220776968 93.797220776968 94.797220776968 94.797220776968 95.797220776968 95.797220776968 96.797220776968 96.797220776968 97.797220776968 97.797220776968 98.797220776968 98.797220776968 99.059570986145 99.797220776968 99.797220776968 100.797220776968 100.797220776968 101.797220776968 101.797220776968 102.797220776968 102.797220776968 103.797220776968 103.797220776968 104.797220776968 104.797220776968 104.828659562959 105.797220776968 105.797220776968 106.797220776968 106.797220776968 107.797220776968 107.797220776968 108.797220776968 108.797220776968 108.823003497939 109.797220776968 109.797220776968 109.838733743312 110.797220776968 110.797220776968 111.042091716361 111.797220776968 111.797220776968 112.797220776968 112.797220776968 113.797220776968 113.797220776968 114.797220776968 114.797220776968 115.797220776968 115.797220776968 116.797220776968 116.797220776968 117.797220776968 117.797220776968 118.071049077434 118.797220776968 118.797220776968 119.797220776968 119.797220776968 120.331760169255 120.797220776968 120.797220776968 120.820742213341 121.797220776968 121.797220776968 122.797220776968 122.797220776968 122.99655108057 123.797220776968 123.797220776968 123.963827855549 124.797220776968 124.797220776968 125.738831712516 125.738942416306 125.797220776968 125.797220776968 126.797220776968 126.797220776968 127.797220776968 127.797220776968 128.797220776968 128.797220776968 129.797220776968 129.797220776968 129.860584898068 130.346021885412 130.797220776968 130.797220776968 131.797220776968 131.797220776968 132.797220776968 132.797220776968 133.797220776968 133.797220776968 134.797220776968 134.797220776968 135.797220776968 135.797220776968 136.234982440259 136.797220776968 136.797220776968 137.797220776968 137.797220776968 138.002553752325 138.650951979298 138.797220776968 138.797220776968 138.934236048888 139.797220776968 139.797220776968 140.797220776968 140.797220776968 141.457861395863 141.797220776968 141.797220776968 142.797220776968 142.797220776968 143.797220776968 143.797220776968 144.356970948718 144.797220776968 144.797220776968 145.797220776968 145.797220776968 146.113401106155 146.797220776968 146.797220776968 146.804440273572 147.355496147649 147.797220776968 147.797220776968 148.797220776968 148.797220776968 149.797220776968 149.797220776968 150.431153576602 150.797220776968 150.797220776968 150.832037966773 151.797220776968 151.797220776968 152.268530926989 152.797220776968 152.797220776968 153.797220776968 153.797220776968 154.133754637527 154.660908863197 154.797220776968 154.797220776968 155.797220776968 155.797220776968 156.797220776968 156.797220776968 157.797220776968 157.797220776968 158.797220776968 158.797220776968 158.882686411963 159.797220776968 159.797220776968 160.214371385237 160.797220776968 160.797220776968 160.907877992815 161.797220776968 161.797220776968 162.797220776968 162.797220776968 163.797220776968 163.797220776968 164.688081389008 164.797220776968 164.797220776968 165.797220776968 165.797220776968 166.797220776968 166.797220776968 167.489432782929 167.783882857555 167.797220776968 167.797220776968 168.797220776968 168.797220776968 168.901898197537 169.797220776968 169.797220776968 170.333988833524 170.797220776968 170.797220776968 171.797220776968 171.797220776968 172.018261439199 172.797220776968 172.797220776968 173.797220776968 173.797220776968 174.797220776968 174.797220776968 175.128850159908 175.797220776968 175.797220776968 176.148831827607 176.797220776968 176.797220776968 177.194767134919 177.479018157704 177.797220776968 177.797220776968 178.797220776968 178.797220776968 179.797220776968 179.797220776968 180.797220776968 180.797220776968 181.797220776968 181.797220776968 182.797220776968 182.797220776968 183.588737715718 183.797220776968 183.797220776968 184.797220776968 184.797220776968 185.797220776968 185.797220776968 186.185628986927 186.797220776968 186.797220776968 187.672795370479 187.797220776968 187.797220776968 188.797220776968 188.797220776968 189.797220776968 189.797220776968 190.797220776968 190.797220776968 191.180224660526 191.57314843232 191.717986652549 191.73745747123 191.797220776968 191.797220776968 192.374625166988 192.797220776968 192.797220776968 193.301405222068 193.797220776968 193.797220776968 194.797220776968 194.797220776968 195.797220776968 195.797220776968 196.797220776968 196.797220776968 197.797220776968 197.797220776968 198.486302439635 198.797220776968 198.797220776968 199.797220776968 199.797220776968","1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 2 1 2 1 2 1 2 3 2 3 2 3 4 3 4 3 4 5 4 5 6 5 6 5 6 7 6 7 6 7 8 7 8 7 8 9 8 9 10 11 10 11 12 11 12 11 12 11 12 11 12 11 12 11 12 11 12 11 12 11 12 13 12 13 12 13 12 13 12 13 14 13 14 15 14 15 14 15 14 15 16 15 16 15 16 17 16 17 16 17 18 17 18 19 18 19 18 19 20 21 20 21 20 21 22 21 22 23 22 23 22 23 24 25 24 25 26 27 26 27 26 27 28 27 28 29 28 29 28 29 28 29 28 29 30 29 30 31 30 31 30 31 30 31 30 31 32 31 32 31 32 33 32 33 32 33 34 33 34 33 34 35 34 35 36 37 36 37 36 37 38 37 38 39 38 39 38 39 38 39 38 39 40 39 40 41 40 41 40 41 40 41 40 41 42 41 42 41 42 41 42 43 42 43 44 43 44 43 44 43 44 43 44 43 44 43 44 43 44 43 44 45 44 45 44 45 44 45 44 45 44 45 44 45 46 45 46 45 46 45 46 45 46 47 46 47 48 47 48 49 48 49 48 49 48 49 48 49 48 49 48 49 48 49 50 49 50 49 50 51 50 51 52 51 52 51 52 53 52 53 54 53 54 55 56 55 56 55 56 55 56 55 56 55 56 57 58 57 58 57 58 57 58 57 58 57 58 57 58 59 58 59 58 59 60 61 60 61 62 61 62 61 62 63 62 63 62 63 62 63 64 63 64 63 64 65 64 65 66 67 66 67 66 67 66 67 68 67 68 69 68 69 70 69 70 69 70 71 72 71 72 71 72 71 72 71 72 71 72 73 72 73 74 73 74 75 74 75 74 75 74 75 76 75 76 75 76 75 76 77 78 77 78 77 78 79 78 79 80 79 80 79 80 81 80 81 80 81 80 81 82 81 82 83 82 83 84 85 84 85 84 85 84 85 84 85 84 85 84 85 86 85 86 85 86 85 86 87 86 87 88 87 88 87 88 87 88 87 88 89 90 91 92 91 92 93 92 93 94 93 94 93 94 93 94 93 94 93 94 95 94 95 94 95"
